PopSize: 300, Gens: 0
1140, 147.279
1141, 146.951
1142, 147.33
1143, 146.993
1144, 147.2
1145, 147.333
1146, 147.183
1147, 147.153
1148, 147.06
1149, 147.651
1150, 147.414
1151, 147.175
1152, 147.466
1153, 147.667
1154, 147.957
1155, 147.227
1156, 147.578
1157, 147.092
1158, 147.364
1159, 147.456
1160, 147.276
1161, 147.51
1162, 147.035
1163, 147.517
1164, 148
1165, 146.974
1166, 147.035
1167, 148.103
1168, 146.6
1169, 148.02
1170, 147.733
1171, 147.753
1172, 147.758
1173, 147.63
1174, 147.367
1175, 147.051
1176, 148.06
1177, 147.104
1178, 147.153
1179, 147.104
1180, 147.629
1181, 147.997
1182, 147.199
1183, 147.818
1184, 147.426
1185, 147.287
1186, 147.516
1187, 147.656
1188, 148.457
1189, 147.316
1190, 147.815
1191, 147.602
1192, 147.122
1193, 147.819
1194, 147.114
1195, 147.994
1196, 147.869
1197, 148.373
1198, 148.553
1199, 148.413
1200, 148
1201, 148.317
1202, 148.384
1203, 148.063
1204, 148.129
1205, 148.046
1206, 147.68
1207, 148.315
1208, 148.162
1209, 147.87
1210, 148.06
1211, 148.108
1212, 148.301
1213, 147.777
1214, 148.161
1215, 148.589
1216, 148.078
1217, 148.42
1218, 148.231
1219, 147.998
1220, 148.083
1221, 147.946
1222, 148.643
1223, 147.94
1224, 148.299
1225, 148.297
1226, 148.042
1227, 148.166
1228, 148.507
1229, 148.504
1230, 147.791
1231, 147.47
1232, 148.401
1233, 148.846
1234, 147.82
1235, 147.988
1236, 148.405
1237, 148.677
1238, 148.632
1239, 148.64
1240, 148.284
1241, 148.606
1242, 148.076
1243, 147.931
1244, 148.204
1245, 148.308
1246, 148.62
1247, 148.082
1248, 148.783
1249, 148.4
1250, 148.47
1251, 148.516
1252, 148.623
1253, 149.058
1254, 148.032
1255, 148.83
1256, 149.116
1257, 149.322
1258, 147.886
1259, 148.385
1260, 148.078
1261, 149.008
1262, 148.469
1263, 148.73
1264, 148.661
1265, 147.951
1266, 148.641
1267, 148.749
1268, 148.635
1269, 148.989
1270, 149.095
1271, 149.1
1272, 148.814
1273, 148.8
1274, 149.298
1275, 148.588
1276, 149.314
1277, 149.094
1278, 148.642
1279, 148.25
1280, 148.344
1281, 149.172
1282, 147.9
1283, 148.257
1284, 149.235
1285, 149.094
1286, 148.92
1287, 148.758
1288, 148.495
1289, 149.218
1290, 148.808
1291, 149.376
1292, 148.982
1293, 149.338
1294, 149.001
1295, 148.452
1296, 149.582
1297, 149.631
1298, 149.812
1299, 149.665
1300, 149.684
1301, 149.961
1302, 148.42
1303, 148.895
1304, 149.382
1305, 149.771
1306, 148.176
1307, 148.854
1308, 149.094
1309, 149.515
1310, 149.416
1311, 149.146
1312, 149.521
1313, 149.474
1314, 149.743
1315, 149.184
1316, 150.334
1317, 148.953
1318, 148.758
1319, 148.648
1320, 148.868
1321, 149.288
1322, 149.432
1323, 149.765
1324, 149.076
1325, 148.78
1326, 149.887
1327, 149.918
1328, 149.519
1329, 150.176
1330, 149.316
1331, 149.052
1332, 149.382
1333, 149.868
1334, 149.599
1335, 149.491
1336, 149.287
1337, 150.252
1338, 149.811
1339, 150.056
1340, 149.519
1341, 150.023
1342, 149.578
1343, 149.267
1344, 150.095
1345, 149.636
1346, 149.273
1347, 150.301
1348, 150.083
1349, 150.072
1350, 149.761
1351, 149.664
1352, 149.852
1353, 150.53
1354, 150.395
1355, 150.105
1356, 149.329
1357, 150.047
1358, 149.741
1359, 150.458
1360, 150.489
1361, 150.062
1362, 150.074
1363, 149.85
1364, 149.87
1365, 149.921
1366, 149.668
1367, 149.895
1368, 149.759
1369, 150.7
1370, 150.554
1371, 150.126
1372, 150.639
1373, 150.35
1374, 150.728
1375, 150.578
1376, 150.357
1377, 150.37
1378, 149.692
1379, 150.778
1380, 151.762
1381, 150.931
1382, 151.235
1383, 150.941
1384, 150.243
1385, 149.804
1386, 150.095
1387, 149.618
1388, 150.329
1389, 150.53
1390, 150.543
1391, 150.375
1392, 150.577
1393, 151.11
1394, 150.72
1395, 151.087
1396, 150.692
1397, 151.061
1398, 150.172
1399, 151.44
1400, 151.453
1401, 151.254
1402, 150.836
1403, 150.024
1404, 150.652
1405, 151.336
1406, 149.932
1407, 149.959
1408, 151.225
1409, 150.889
1410, 151.094
1411, 150.952
1412, 150.214
1413, 151.223
1414, 150.779
1415, 150.535
1416, 150.591
1417, 150.411
1418, 151.184
1419, 151.197
1420, 150.643
1421, 151.359
1422, 150.608
1423, 151.058
1424, 150.584
1425, 151.333
1426, 151.017
1427, 150.728
1428, 151.379
1429, 151.286
1430, 151.071
1431, 151.009
1432, 151.76
1433, 151.146
1434, 151.239
1435, 151.132
1436, 151.718
1437, 150.483
1438, 150.619
1439, 150.878
1440, 151.416
1441, 150.714
1442, 151.142
1443, 150.993
1444, 150.881
1445, 151.884
1446, 151.639
1447, 150.984
1448, 151.559
1449, 151.883
1450, 151.737
1451, 151.52
1452, 151.703
1453, 151.421
1454, 150.865
1455, 151.469
1456, 151.238
1457, 151.236
1458, 152.049
1459, 151.342
1460, 150.955
1461, 150.856
1462, 151.026
1463, 150.406
1464, 150.85
1465, 151.647
1466, 152.333
1467, 151.487
1468, 151.621
1469, 151.35
1470, 151.061
1471, 151.374
1472, 152.214
1473, 152.13
1474, 151.658
1475, 151.841
1476, 151.516
1477, 151.159
1478, 151.739
1479, 151.822
1480, 151.697
1481, 152.161
1482, 150.756
1483, 151.103
1484, 150.787
1485, 151.706
1486, 150.646
1487, 150.618
1488, 151.126
1489, 152.363
1490, 152.083
1491, 151.353
1492, 151.906
1493, 152.386
1494, 151.496
1495, 152.281
1496, 151.525
1497, 151.609
1498, 151.52
1499, 152.072
1500, 152.64
1501, 152.084
1502, 152.191
1503, 152.371
1504, 152.287
1505, 151.384
1506, 151.822
1507, 152.217
1508, 152.38
1509, 152.814
1510, 152.675
1511, 152.641
1512, 152.55
1513, 152.474
1514, 151.985
1515, 152.165
1516, 151.582
1517, 151.807
1518, 152.369
1519, 152.146
1520, 152.741
1521, 152.637
1522, 152.858
1523, 152.63
1524, 152.721
1525, 152.899
1526, 151.838
1527, 151.841
1528, 152.206
1529, 151.89
1530, 152.551
1531, 152.641
1532, 152.322
1533, 152.543
1534, 152.873
1535, 151.603
1536, 151.94
1537, 152.874
1538, 151.758
1539, 152.179
1540, 151.528
1541, 151.788
1542, 152.829
1543, 152.774
1544, 152.718
1545, 152.815
1546, 153.623
1547, 152.545
1548, 153.376
1549, 153.757
1550, 152.527
1551, 153.171
1552, 152.059
1553, 152.082
1554, 152.417
1555, 152.777
1556, 152.617
1557, 152.228
1558, 152.703
1559, 153.088
1560, 152.962
1561, 152.378
1562, 152.863
1563, 153.025
1564, 152.666
1565, 153.418
1566, 153.725
1567, 153.085
1568, 153.516
1569, 153.661
1570, 152.323
1571, 153.088
1572, 153.515
1573, 152.831
1574, 153.705
1575, 153.283
1576, 153.757
1577, 153.618
1578, 153.226
1579, 152.197
1580, 152.506
1581, 152.787
1582, 152.663
1583, 153.136
1584, 154.108
1585, 153.834
1586, 153.333
1587, 153.045
1588, 153.859
1589, 153.878
1590, 153.859
1591, 153.298
1592, 153.253
1593, 153.322
1594, 154.208
1595, 154.1
1596, 152.467
1597, 153.282
1598, 153.815
1599, 154.188
1600, 154.382
1601, 153.921
1602, 154.146
1603, 153.896
1604, 153.127
1605, 153.046
1606, 153.231
1607, 153.487
1608, 153.156
1609, 153.375
1610, 153.45
1611, 154.524
1612, 153.737
1613, 153.53
1614, 153.003
1615, 153.495
1616, 153.932
1617, 153.628
1618, 153.413
1619, 153.586
1620, 154.18
1621, 154.132
1622, 152.97
1623, 153.167
1624, 153.424
1625, 153.337
1626, 153.509
1627, 153.687
1628, 154.33
1629, 153.852
1630, 154.116
1631, 154.018
1632, 154.551
1633, 154.554
1634, 153.608
1635, 154.406
1636, 153.781
1637, 154.47
1638, 153.908
1639, 153.542
1640, 154.154
1641, 152.983
1642, 153.423
1643, 154.192
1644, 154.072
1645, 154.514
1646, 154.729
1647, 153.779
1648, 154.452
1649, 154.935
1650, 154.358
1651, 155.01
1652, 155.309
1653, 154.7
1654, 154.606
1655, 153.714
1656, 155.047
1657, 155.064
1658, 154.475
1659, 154.017
1660, 154.57
1661, 154.203
1662, 154.365
1663, 154.077
1664, 153.911
1665, 154.707
1666, 153.97
1667, 154.434
1668, 154.104
1669, 154.307
1670, 154.344
1671, 155.458
1672, 154.68
1673, 155.507
1674, 154.522
1675, 154.548
1676, 154.05
1677, 154.251
1678, 154.516
1679, 154.457
1680, 153.855
1681, 154.34
1682, 153.577
1683, 154.034
1684, 154.557
1685, 153.863
1686, 155.019
1687, 154.09
1688, 154.199
1689, 154.204
1690, 154.404
1691, 155.074
1692, 155.687
1693, 155.389
1694, 154.804
1695, 154.705
1696, 154.906
1697, 155.427
1698, 154.86
1699, 155.434
1700, 155.443
1701, 155.003
1702, 154.22
1703, 154.636
1704, 155.914
1705, 155.692
1706, 155.865
1707, 155.478
1708, 154.898
1709, 155.377
1710, 155.375
1711, 155.201
1712, 154.733
1713, 155.548
1714, 155.066
1715, 155.895
1716, 155.338
1717, 155.594
1718, 154.89
1719, 155.857
1720, 156.395
1721, 155.201
1722, 155.551
1723, 154.434
1724, 155.501
1725, 156.003
1726, 156.148
1727, 155.783
1728, 156.187
1729, 154.747
1730, 154.961
1731, 154.769
1732, 156.051
1733, 155.78
1734, 155.775
1735, 155.177
1736, 155.11
1737, 156.223
1738, 155.458
1739, 154.888
1740, 155.963
1741, 155.776
1742, 155.587
1743, 155.168
1744, 154.961
1745, 154.939
1746, 155.085
1747, 155.898
1748, 155.367
1749, 156.187
1750, 155.074
1751, 156.534
1752, 156.48
1753, 155.672
1754, 156.602
1755, 155.666
1756, 155.9
1757, 156.218
1758, 156.207
1759, 155.233
1760, 156.448
1761, 155.931
1762, 156.914
1763, 157.012
1764, 156.109
1765, 155.027
1766, 156.293
1767, 155.918
1768, 155.499
1769, 155.908
1770, 155.093
1771, 155.006
1772, 155.191
1773, 155.771
1774, 156.87
1775, 155.812
1776, 155.235
1777, 155.299
1778, 155.239
1779, 156.272
1780, 156.183
1781, 156.557
1782, 155.909
1783, 155.728
1784, 157.06
1785, 156.621
1786, 156.286
1787, 154.812
1788, 155.111
1789, 156.022
1790, 157.494
1791, 155.954
1792, 155.932
1793, 156.733
1794, 156.516
1795, 156.526
1796, 156.004
1797, 156.401
1798, 156.425
1799, 156.53
1800, 156.721
1801, 156.098
1802, 157.512
1803, 157.12
1804, 156.789
1805, 155.482
1806, 155.65
1807, 155.992
1808, 156.897
1809, 156.457
1810, 156.597
1811, 156.287
1812, 157.252
1813, 156.62
1814, 156.051
1815, 156.198
1816, 157.319
1817, 157.426
1818, 156.125
1819, 157.045
1820, 156.751
1821, 157.479
1822, 156.808
1823, 157.626
1824, 156.945
1825, 156.79
1826, 156.661
1827, 155.944
1828, 156.039
1829, 157.493
1830, 156.983
1831, 157.609
1832, 156.784
1833, 155.872
1834, 158.158
1835, 156.934
1836, 156.113
1837, 157.03
1838, 156.929
1839, 157.749
1840, 156.787
1841, 155.675
1842, 156.881
1843, 156.372
1844, 157.223
1845, 156.188
1846, 156.51
1847, 157.122
1848, 155.637
1849, 156.483
1850, 156.917
1851, 156.558
1852, 157.464
1853, 157.59
1854, 157.795
1855, 157.222
1856, 158.038
1857, 157.048
1858, 156.686
1859, 156.846
1860, 157.967
1861, 156.281
1862, 156.614
1863, 156.562
1864, 157.477
1865, 156.984
1866, 157.501
1867, 157.237
